id,number_of_clicks,order_volume
1579,5,0
12750,5,0
15025,5,0
21602,0,0
28139,0,0
32170,5,0
62029,90,0
65903,0,0
75942,90,0
83252,5,0
4854,5,0
9080,28,0
18599,0,0
30137,5,0
33460,5,0
36356,0,0
38840,0,0
39411,140,0
45926,0,0
59177,1140,0
65130,0,0
69925,0,0
22068,5,0
52376,5,0
56112,5,0
74399,0,0
89449,5,0
1412,5,0
13404,57,0
19545,5,0
57838,0,0
81064,5,0
97492,0,0
23943,90,0
63145,5,0
89304,5,0
33307,0,0
83263,208,0
45181,0,0
47569,0,0
1073,5,0
67912,20,0
47965,285,0
52896,497,0
81966,0,0
81803,28,0
31160,5,0
47615,45,0
72347,5,0
28334,0,0
27267,0,0
53370,28,0
30904,5,0
47549,20,0
55789,608,0
40988,0,0
27923,140,0
23094,5,0
3567,20,0
23081,5,0
44049,5,0
88776,0,0
415,5,0
41396,20,0
22897,0,0
70643,5,0
19324,5,0
39436,5,0
20996,5,0
78374,285,0
90697,5,0
85716,5,0
55697,5,0
22379,5,0
80767,5,0
60466,5,0
29904,5,0
30078,0,0
47478,0,0
95664,20,0
73729,0,0
87390,20,0
26042,96,0
31618,0,0
36460,5,0
51930,5,0
63514,20,0
81884,20,0
84281,80,0
62920,0,0
69307,5,0
83570,57,0
35779,20,0
58049,0,0
46937,5,0
49404,5,0
98243,28,0
58298,0,0
83374,20,0
40222,5,0
40927,140,0
80840,5,0
82418,5,0
13190,5,0
45412,20,0
51074,0,0
5898,5,0
18272,0,0
19246,5,0
41080,0,0
80336,0,0
94317,0,0
21694,5,0
26128,0,0
36533,0,0
54317,208,0
58339,5,0
98456,0,0
73322,5,0
22678,28,0
62998,5,0
74384,0,0
69593,0,0
80755,0,0
84740,28,0
86450,5,0
49498,0,0
54376,112,0
12186,0,0
26947,0,0
35912,0,0
38680,0,0
50516,90,0
82628,28,0
67777,96,0
18830,5,0
62937,0,0
76215,5,0
79048,5,0
94626,28,0
20892,5,0
49892,208,0
96271,504,0
92110,28,0
2508,5,0
15980,469,0
60275,396,0
63313,0,0
76039,5,0
3280,5,0
36548,5,0
93263,0,0
7366,5,0
17190,0,0
78568,28,0
81095,0,0
95393,5,0
30725,0,0
52329,0,0
62940,0,0
73790,5,0
82543,0,0
18572,0,0
68196,0,0
85819,57,0
42204,0,0
65506,90,0
84499,0,0
95939,5,0
49031,90,0
91773,0,0
1847,5,0
29612,0,0
36748,0,0
56952,5,0
75344,0,0
76416,5,0
24827,0,0
36331,5,0
82242,5,0
38530,28,0
65810,57,0
45701,5,0
57787,5,0
89453,0,0
27626,0,0
89125,5,0
90519,90,0
15738,5,0
26352,0,0
27809,5,0
46405,5,0
67311,20,0
81268,0,0
81951,285,0
94811,20,0
97677,0,0
7897,608,0
30286,5,0
35470,5,0
74553,0,0
95192,20,0
29185,0,0
34004,28,0
38015,0,0
74801,20,0
90041,0,0
5984,140,0
12107,28,0
24240,57,0
49914,5,0
50266,28,0
54904,5,0
62173,469,0
73204,90,0
87395,0,0
89391,5,0
93548,20,0
451,5,0
3539,0,0
9047,285,0
9348,5,0
12587,5,0
24394,57,0
55657,5,0
77095,0,0
93009,0,0
21315,5,0
36977,5,0
40618,96,0
50596,0,0
91667,5,0
97056,5,0
20244,0,0
33371,5,0
37152,5,0
50910,5,0
63124,0,0
65169,5,0
67652,0,0
81577,0,0
94940,5,0
3617,5,0
47692,0,0
50718,5,0
57354,20,0
61689,0,0
82209,5,0
92477,5,0
9802,5,0
14219,0,0
21518,5,0
24278,28,0
30285,20,0
30436,5,0
59193,5,0
65880,57,0
76180,5,0
81689,5,0
85050,20,0
87762,0,0
18995,5,0
22454,5,0
26487,5,0
38095,285,0
39575,5,0
52080,5,0
56630,0,0
65978,20,0
69687,5,0
81202,112,0
97257,28,0
523,0,0
6026,28,0
28367,5,0
28480,0,0
50584,90,0
83260,20,0
94966,5,0
5699,57,0
7117,28,0
60380,20,0
61570,208,0
69927,396,0
97584,0,0
1947,270,0
31116,0,0
47143,0,0
58258,28,0
63937,0,0
70191,5,0
97029,0,0
2716,228,0
3381,0,0
5128,208,0
44113,5,0
51359,57,0
5139,0,0
6819,20,0
10490,0,0
15383,57,0
26276,285,0
31870,5,0
35011,608,0
61873,90,0
65048,0,0
94808,28,0
99804,208,0
52245,20,0
4967,285,0
16047,28,0
20107,285,0
24250,0,0
30254,57,0
34669,0,0
35941,0,0
51338,20,0
94336,0,0
94866,5,0
97884,20,0
18392,5,0
25479,20,0
28492,28,0
56750,0,0
61303,0,0
69852,5,0
86435,90,0
43388,28,0
47654,5,0
57811,5,0
63768,0,0
70405,28,0
82001,0,0
92004,90,0
8364,5,0
29510,208,0
36829,0,0
40694,5,0
46658,20,0
56091,5,0
75275,28,0
7225,5,0
18800,0,0
33324,57,0
37057,28,0
51407,0,0
89023,5,0
24142,90,0
47256,45,0
50456,57,0
85058,20,0
89260,5,0
1709,28,0
2806,96,0
37937,20,0
91447,0,0
6952,0,0
10274,5,0
55392,20,0
96228,0,0
37346,5,0
45910,5,0
75184,5,0
44679,5,0
77619,0,0
49503,5,0
8745,5,0
30170,372,0
37394,5,0
39398,20,0
89162,96,0
25273,5,0
56794,5,0
78243,20,0
88689,0,0
17616,5,0
40358,5,0
44463,90,0
69161,0,0
92120,5,0
27126,0,0
55326,0,0
85551,5,0
96821,0,0
5676,20,0
9791,0,0
13368,0,0
15187,0,0
16844,28,0
32641,0,0
34028,5,0
37770,28,0
41013,28,0
41847,208,0
42927,0,0
46932,96,0
49275,28,0
53805,0,0
62535,28,0
69383,0,0
72498,5,0
89012,5,0
91526,5,0
5302,28,0
46477,5,0
48301,5,0
60129,90,0
70016,57,0
98315,5,0
1220,5,0
11845,5,0
34737,5,0
7689,0,0
38782,5,0
50913,208,0
60918,90,0
67088,0,0
86137,57,0
92476,5,0
20093,5,0
26063,28,0
27660,200,0
45637,20,0
79099,5,0
80300,5,0
3818,5,0
4723,208,0
8613,28,0
59819,0,0
86582,0,0
91625,5,0
99237,0,0
15875,5,0
30499,5,0
32640,5,0
34591,5,0
34758,0,0
48910,0,0
68191,5,0
71108,57,0
74068,140,0
80900,5,0
82733,5,0
84812,5,0
86253,5,0
90426,5,0
94850,981,0
305,0,0
